season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2007,Arizona Diamondbacks,52067546,90,90.0,712,732,0.487027368630879,78.8984337182024,578528.2888888889
2007,Colorado Rockies,54424000,90,90.0,860,758,0.5606876818474923,90.83140445929375,604711.1111111111
2007,Cleveland Guardians,61673267,96,96.0,811,704,0.5667896472405595,91.81992285297063,642429.8645833334
2007,San Diego Padres,58110567,89,89.0,741,666,0.5493622140084444,88.996678669368,652927.7191011236
2007,Milwaukee Brewers,70986500,83,83.0,801,776,0.5152274530211373,83.46684738942423,855259.0361445784
2007,Minnesota Twins,71439500,79,79.0,718,725,0.49545669602627496,80.26398475625655,904297.4683544304
2007,Texas Rangers,68318675,75,75.0,816,844,0.4835583748227604,78.33645672128718,910915.6666666666
2007,Cincinnati Reds,68904980,72,72.0,783,853,0.45852599615538286,74.28121137717203,957013.6111111111
2007,Kansas City Royals,67116500,69,69.0,706,778,0.45428425120432286,73.5940486951003,972702.8985507246
2007,Toronto Blue Jays,81942800,83,83.0,753,699,0.5348534838562171,86.64626438470717,987262.6506024096
2007,Philadelphia Phillies,89428213,89,89.0,892,821,0.5407112949227943,87.59522977749269,1004811.3820224719
2007,Atlanta Braves,87290833,84,84.0,810,733,0.5475414007802383,88.7017069263986,1039176.5833333334
2007,Oakland Athletics,79366940,76,76.0,741,758,0.48926274171834205,79.26056415837141,1044301.8421052631
2007,Detroit Tigers,95180369,88,88.0,887,797,0.5521830531965443,89.45365461784017,1081595.1022727273
2007,St. Louis Cardinals,90286823,78,78.0,725,829,0.4362256997708202,70.66856336287287,1157523.3717948718
2007,Los Angeles Angels,109251333,94,94.0,822,731,0.5558798364923313,90.05253351175767,1162248.2234042552
2007,Chicago Cubs,99670332,85,85.0,752,690,0.5401992644620509,87.51228084285225,1172592.1411764706
2007,Houston Astros,87759000,73,73.0,723,813,0.44429732089438667,71.97616598489064,1202178.082191781
2007,Seattle Mariners,106460833,88,88.0,794,813,0.4885804711989066,79.15003633422286,1209782.1931818181
2007,San Francisco Giants,90219056,71,71.0,683,720,0.4755126420984269,77.03304801994516,1270690.9295774647
2007,New York Mets,115231663,88,88.0,804,750,0.5332095829014205,86.37995243003012,1309450.7159090908
2007,Los Angeles Dodgers,108454524,82,82.0,735,727,0.5051441155619114,81.83334672102964,1322616.1463414633
2007,Baltimore Orioles,93554808,69,69.0,756,868,0.43347016919965364,70.22216741034389,1355866.7826086956
2007,Boston Red Sox,143026214,96,96.0,867,657,0.628956358613323,101.89093009535833,1489856.3958333333
2007,Chicago White Sox,108671833,72,72.0,693,839,0.4099143194883494,66.4061197571126,1509331.013888889
2007,New York Yankees,189639045,94,94.0,968,777,0.6070160091216961,98.33659347771476,2017436.6489361702
2008,Miami Marlins,21811500,84,84.0,770,767,0.5018648001821975,81.302097629516,259660.7142857143
2008,Tampa Bay Rays,43820597,97,97.0,774,671,0.5665038686808687,91.77362672630072,451758.73195876286
2008,Oakland Athletics,47967126,75,75.0,646,690,0.46980105169575226,76.10777037471186,639561.68
2008,Minnesota Twins,56932766,88,88.0,829,745,0.5510252817101103,89.26609563703788,646963.25
2008,Pittsburgh Pirates,48689783,67,67.0,735,884,0.411595361391839,66.67844854547792,726713.1791044776
2008,Kansas City Royals,58245500,75,75.0,691,781,0.4425902073023244,71.69961358297655,776606.6666666666
2008,Arizona Diamondbacks,66202712,82,82.0,720,706,0.5091631613977508,82.48443214643562,807350.1463414634
2008,Texas Rangers,67712326,79,79.0,901,967,0.46440925127441507,75.23429870645523,857118.0506329114
2008,Milwaukee Brewers,80937499,90,90.0,750,689,0.5396114699385373,87.41705813004303,899305.5444444445
2008,Colorado Rockies,68655500,74,74.0,747,822,0.45423482044044217,73.58604091135163,927777.027027027
2008,Washington Nationals,54961000,59,59.0,641,825,0.38326844937897303,62.08948879939363,931542.3728813559
2008,Cleveland Guardians,78970066,81,81.0,805,761,0.5269215127433106,85.36128506441631,974939.086419753
2008,Baltimore Orioles,67196246,68,68.0,782,869,0.44874328987763523,72.69641296017691,988180.0882352941
